"question","respondent_id","response","theme"
"Why are you cancelling?","1779533","seen what I like already","null"
"Why are you cancelling?","1779397","You keep canceling really good, popular series!","null"
"Why are you cancelling?","1779811","Getting through cell provider","null"
"Why are you cancelling?","1779968","Budget cuts","Reducing expenses / financial constraints"
"Why are you cancelling?","1779967","Cannot have multiple users","Object to sharing restrictions"
"Why are you cancelling?","1779966","cost has risen too much too quickly","Constant price rise / increase"
"Why are you cancelling?","1779965","disappointed with the sub subscription news","New policy generally"
"Why are you cancelling?","1779964","Don't want it for now anymore","Don't use it enough / anymore"
"Why are you cancelling?","1779963","Don�t need it","Don't use it enough / anymore"
"Why are you cancelling?","1779962","duplicate subscriptions","Consolidating / shifting accounts"
"Why are you cancelling?","1779961","Financial Difficulty","Reducing expenses / financial constraints"
"Why are you cancelling?","1779960","Getting old","null"
"Why are you cancelling?","1779959","I am connected through my service provider","Consolidating / shifting accounts"
"Why are you cancelling?","1779958","I just moved use it, as you can see by my time in the last many months","Moving / changing locations"
"Why are you cancelling?","1779957","I need to change country of billing","Making changes to payment / billing"
"Why are you cancelling?","1779957","I need to change country of billing","Moving / changing locations"
"Why are you cancelling?","1779956","I need to cut expenses","Reducing expenses / financial constraints"
"Why are you cancelling?","1779955","I wont support your nonesence.","New policy generally"
"Why are you cancelling?","1779954","I'm moving but will rejoin once I get settled.","Moving / changing locations"
"Why are you cancelling?","1779953","Joint subscription with my husband","Consolidating / shifting accounts"
"Why are you cancelling?","1779952","Just take a break","Temporary break from platform"
"Why are you cancelling?","1779951","Keep raising your price","Constant price rise / increase"
"Why are you cancelling?","1779950","moved to the US - will start again there","Moving / changing locations"
"Why are you cancelling?","1779949","Moved to UK","Moving / changing locations"
"Why are you cancelling?","1779948","moving in with my bf. He has an subscription already.","Consolidating / shifting accounts"
"Why are you cancelling?","1779948","moving in with my bf. He has an subscription already.","Moving / changing locations"
"Why are you cancelling?","1779947","Moving to new location in Ontario","Moving / changing locations"
"Why are you cancelling?","1779946","my fiance is moving in and we are consolidating subscriptions","Consolidating / shifting accounts"
"Why are you cancelling?","1779945","Not using it anymore","Don't use it enough / anymore"
"Why are you cancelling?","1779944","Personal issues with subscription between users","Object to sharing restrictions"
"Why are you cancelling?","1779943","Price gouging","Too expensive"
"Why are you cancelling?","1779942","Prices keep going upward it is now too much expensive for me unfortunately.","Too expensive"
"Why are you cancelling?","1779942","Prices keep going upward it is now too much expensive for me unfortunately.","Constant price rise / increase"
"Why are you cancelling?","1779941","sick of being ripped off LOL","Too expensive"
"Why are you cancelling?","1779940","Started Charging Taxes","null"
"Why are you cancelling?","1779939","Summer activities = better health","null"
"Why are you cancelling?","1779938","taking a break will be back","Temporary break from platform"
"Why are you cancelling?","1779937","The price hikes are getting out of hand for the lack of selection","Constant price rise / increase"
"Why are you cancelling?","1779936","This is temporary","Temporary break from platform"
"Why are you cancelling?","1779935","To expensive compared to others so switching","Prefer competition"
"Why are you cancelling?","1779935","To expensive compared to others so switching","Too expensive"
"Why are you cancelling?","1779934","Trying to cut back","Reducing expenses / financial constraints"
"Why are you cancelling?","1779933","user passed away","Account owner passed away"
"Why are you cancelling?","1779932","Will return","Temporary break from platform"
"Why are you cancelling?","1779931","With frequent price increases, no longer a good value","Constant price rise / increase"
"Why are you cancelling?","1779930","You keep upping prices by huge amounts","Constant price rise / increase"
"Why are you cancelling?","1779929","2 price increases in 4 months has pushed me over the edge","Constant price rise / increase"
"Why are you cancelling?","1779928","3 months out of town","Temporary break from platform"
"Why are you cancelling?","1779927","3rd price increase","Constant price rise / increase"
"Why are you cancelling?","1779926","A 20% increase is something I'm not willing to support. Options are not great for the price.","Constant price rise / increase"
"Why are you cancelling?","1779925","subscription compromised","Account gets hacked"
"Why are you cancelling?","1779924","subscription hacked","Account gets hacked"
"Why are you cancelling?","1779923","subscription hacked too hard to fix","Account gets hacked"
"Why are you cancelling?","1779922","subscription owner passed away","Account owner passed away"
"Why are you cancelling?","1779921","subscription sharing crackdown","Object to sharing restrictions"
"Why are you cancelling?","1779920","Added charges and fees","Object to additional charges"
"Why are you cancelling?","1779919","Others offer better services for lesser prices","Prefer competition"
"Why are you cancelling?","1779918","back to piracy with these prices.","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779917","Bad economy","Reducing expenses / financial constraints"
"Why are you cancelling?","1779916","Be back on payday","Temporary break from platform"
"Why are you cancelling?","1779915","Because I can�t share with my grandkids out of stay without you charging me extra.","Object to family/household restriction"
"Why are you cancelling?","1779915","Because I can�t share with my grandkids out of stay without you charging me extra.","Object to sharing restrictions"
"Why are you cancelling?","1779914","Because I was not allowed to pay my bill after my credit card was compromised. I wanted to have my bill charged to my bank subscription automatically but that is not an option I was told. So, I�ll just do without it.","Problems with billing"
"Why are you cancelling?","1779913","Because prices are raising without any differences or improvements","Constant price rise / increase"
"Why are you cancelling?","1779912","Because y�all keep stealing money from me and I haven�t been on in years","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779911","Because you guys want to stop people from sharing something that they pay for. Just stop.","Object to sharing restrictions"
"Why are you cancelling?","1779910","Behind on finances","Reducing expenses / financial constraints"
"Why are you cancelling?","1779909","Billing","Problems with billing"
"Why are you cancelling?","1779908","Billing trouble","Problems with billing"
"Why are you cancelling?","1779907","Bills","Reducing expenses / financial constraints"
"Why are you cancelling?","1779906","Boyfriend has subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779905","Boyfriends subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779904","Budget","Reducing expenses / financial constraints"
"Why are you cancelling?","1779903","Budget :(","Reducing expenses / financial constraints"
"Why are you cancelling?","1779902","budget cutbacks","Reducing expenses / financial constraints"
"Why are you cancelling?","1779901","budget cuts","Reducing expenses / financial constraints"
"Why are you cancelling?","1779900","Budget issues","Reducing expenses / financial constraints"
"Why are you cancelling?","1779899","Budget Tightening, Will Return AgainLater","Temporary break from platform"
"Why are you cancelling?","1779899","Budget Tightening, Will Return AgainLater","Reducing expenses / financial constraints"
"Why are you cancelling?","1779898","Budgeting","Reducing expenses / financial constraints"
"Why are you cancelling?","1779897","Budgeting","Reducing expenses / financial constraints"
